origem_id,destino_id,tipo_relacao,data
ons/ons_s_bmodulo_5_1_op_2022_08.txt,ons/ons_subm_dulo_5_1_op_2020_12.txt,sucede,2022.08
ons/ons_s_bmodulo_6_16_rs_2022_11.txt,ons/ons_subm_dulo_6_16_rs_2020_12.txt,sucede,2022.11
ons/ons_subm_dulo_6_16_rs_2026_04.txt,ons/ons_s_bmodulo_6_16_rs_2022_11.txt,sucede,2026.04
ons/ons_subm_dulo_6_8_pr_2020_12_docx_2c216c37_89b1_4709_9dbe_22f228.txt,ons/ons_subm_dulo_6_8_pr_2020_12.txt,sucede,2020.12
ons/ons_s_bmodulo_6_8_pr_2022_11.txt,ons/ons_subm_dulo_6_8_pr_2020_12_docx_2c216c37_89b1_4709_9dbe_22f228.txt,sucede,2022.11
ons/ons_subm_dulo_6_8_pr_2025_06.txt,ons/ons_s_bmodulo_6_8_pr_2022_11.txt,sucede,2025.06
ons/ons_s_bmodulo_6_8_rs_2022_11.txt,ons/ons_subm_dulo_6_8_rs_2020_12.txt,sucede,2022.11
ons/ons_subm_dulo_6_8_rs_2025_06.txt,ons/ons_s_bmodulo_6_8_rs_2022_11.txt,sucede,2025.06
ons/ons_s_bmodulo_7_11_op_2023_03.txt,ons/ons_subm_dulo_7_11_op_2020_12.txt,sucede,2023.03
ons/ons_s_bmodulo_7_11_rs_2022_11.txt,ons/ons_subm_dulo_7_11_rs_2020_12.txt,sucede,2022.11
ons/ons_subm_dulo_7_11_rs_2026_04.txt,ons/ons_s_bmodulo_7_11_rs_2022_11.txt,sucede,2026.04
ons/ons_s_bmodulo_7_14_pr_2023_09.txt,ons/ons_subm_dulo_7_14_pr_2020_12.txt,sucede,2023.09
ons/ons_subm_dulo_7_14_pr_2025_12.txt,ons/ons_s_bmodulo_7_14_pr_2023_09.txt,sucede,2025.12
ons/ons_subm_dulo_7_15_pr_2021_06.txt,ons/ons_subm_dulo_7_15_pr_2020_12.txt,sucede,2021.06
ons/ons_s_bmodulo_7_15_pr_2022_08.txt,ons/ons_subm_dulo_7_15_pr_2021_06.txt,sucede,2022.08
